id,date,text,views,forwards,replies,reactions
21006,2025-09-17 13:05:28+00:00,"Начинаем стрим⚡️ Вместе с Машей Червоткиной будем пошагово наносить продукты и обсуждать секреты быстрого макияжа! 

Кстати, в прямом эфире будет много фаворитов от DARLING*, поэтому мы запустили промокод DARLING15 на доп.скидку –15% на весь ассортимент бренда при покупке от 1 500 ₽. Действует до конца дня.",49730,12,0,"{""ReactionEmoji(emoticon='❤')"": 246, 'ReactionCustomEmoji(document_id=5294214784856649592)': 137, ""ReactionEmoji(emoticon='🔥')"": 71, ""ReactionEmoji(emoticon='👍')"": 38, ""ReactionEmoji(emoticon='⚡')"": 12, ""ReactionEmoji(emoticon='😍')"": 8, ""ReactionEmoji(emoticon='😇')"": 4, ""ReactionEmoji(emoticon='😁')"": 3}"
21005,2025-09-17 11:49:25+00:00,,58420,52,0,{}
21004,2025-09-17 11:49:25+00:00,,58941,56,0,{}
21003,2025-09-17 11:49:25+00:00,,58240,52,0,{}
21002,2025-09-17 11:49:25+00:00,,55913,53,0,{}
21001,2025-09-17 11:49:25+00:00,,55823,52,0,{}
21000,2025-09-17 11:49:25+00:00,"Подвеска в виде упавшего листа и чокер с посланием — делимся украшениями на осень.

В каталоге Золотого Яблока есть более 20 000 аксессуаров, а также ювелирные украшения — найти свое не составит труда! Например, эти находки дополнят и трендовый стиль преппи, и классику с пиджаком:

— серьги Metaphysica
— серебряная подвеска SHU SHA
— серебряные серьги Baltsilver
— шнур с серебряной подвеской The Si
— серьги-гвоздики «Настроение женщины»

Фото: Pinterest
Реклама",56849,53,11,"{""ReactionEmoji(emoticon='❤')"": 396, 'ReactionCustomEmoji(document_id=5294214784856649592)': 120, ""ReactionEmoji(emoticon='🔥')"": 108, ""ReactionEmoji(emoticon='👍')"": 89, ""ReactionEmoji(emoticon='😁')"": 8, ""ReactionEmoji(emoticon='😍')"": 8, ""ReactionEmoji(emoticon='😇')"": 8, ""ReactionEmoji(emoticon='⚡')"": 7}"
20999,2025-09-17 11:00:01+00:00,"Позвали в гости Машу Червоткину, чтобы узнать ее секреты быстрого макияжа🩷 Сегодня в 16:00 (мск) проведем стрим и вместе соберем красивый образ.

Мы убегаем готовиться, а вы сохраняйте время и обязательно подключайтесь!",55901,3,25,"{""ReactionEmoji(emoticon='❤')"": 409, 'ReactionCustomEmoji(document_id=5294214784856649592)': 205, ""ReactionEmoji(emoticon='🔥')"": 109, ""ReactionEmoji(emoticon='⚡')"": 42, ""ReactionEmoji(emoticon='👍')"": 24, ""ReactionEmoji(emoticon='😇')"": 9, ""ReactionEmoji(emoticon='😁')"": 8, ""ReactionEmoji(emoticon='😍')"": 8}"
20998,2025-09-17 08:56:19+00:00,,62919,216,0,{}
20997,2025-09-17 08:56:19+00:00,"Мы любим Kenzo за легкие элегантные ароматы, которые долго остаются на коже. 

И сейчас бренд решил порадовать новинкой — парфюмерной водой L’Eau Pure. Композиция создана в лучших традициях бренда, но при этом имеет яркую индивидуальность. 

Это аромат для тех, кто ищет легкость и свободу без границ. Он стартует с искристого мандарина и лимона, дополненных белой лавандой. В базе — теплый сандал и мускус, но главная нота здесь — мощная акватическая молекула Aquozone. Именно она передает свежесть и глубину аромата.

Несмотря на легкость, аромат удивляет стойкостью. В течение дня он раскрывается с разных сторон, но никуда не исчезает и оставляет за собой нежный шлейф. 

Новый аромат уже доступен в Золотом Яблоке в трех объемах: 30, 50, 100 мл.

Реклама",64863,215,33,"{""ReactionEmoji(emoticon='❤')"": 496, 'ReactionCustomEmoji(document_id=5294214784856649592)': 254, ""ReactionEmoji(emoticon='🔥')"": 143, ""ReactionEmoji(emoticon='👍')"": 49, ""ReactionEmoji(emoticon='😁')"": 13, ""ReactionEmoji(emoticon='😍')"": 7, ""ReactionEmoji(emoticon='⚡')"": 5, ""ReactionEmoji(emoticon='😇')"": 5}"
